"id","name","hiragana","recipes_count"
1722,"生海苔","なまのり",1
1732,"淡口醤油","うすくちしょうゆ",25
1742,"水溶きくず","みずときくず",1
1752,"わさび","わさび",7
1762,"米","べい",10
1772,"穀物酢","こくもつず",1
1782,"刺身サーモン","さしみさーもん",1
1792,"刺身用鯛","さしみようたい",1
1802,"車海老","くるまえび",1
1812,"塩イクラ","しおいくら",1
1822,"桜塩漬け","さくらしおづけ",1
1832,"白胡麻","しろごま",5
1842,"筍","たけのこ",4
1852,"鷹の爪","たかのつめ",5
1862,"鰹昆布だし","かつおこんぶだし",1
1872,"西京味噌","さいきょうみそ",2
1882,"ごはん","ごはん",13
1892,"のり","のり",4
1902,"がり","がり",1
1912,"あさつき","あさつき",3
1922,"鯛","たい",1
1932,"ゴーヤ","ごーや",2
1942,"島豆腐","しまどうふ",1
1952,"豚バラ肉スライス","ぶたばらにくすらいす",1
1962,"ラード","らーど",6
1972,"カステラカマボコ","かすてらかまぼこ",1
1982,"豚肉","ぶたにく",2
1992,"万能ねぎ","ばんのうねぎ",8
2002,"ゴマ油","ごまあぶら",34
2012,"栗","くり",1
2022,"もち米","もちごめ",3
2032,"昆布だし","こんぶだし",1
2042,"秋刀魚","さんま",1
2052,"焼きだれ","やきだれ",1
2062,"肝","きも",1
2072,"白髪葱","しらがねぎ",1
2082,"パプリカ","ぱぷりか",16
2092,"そば","そば",3
2102,"しめじ","しめじ",3
2112,"そばつゆ","そばつゆ",1
2122,"みつば","みつば",7
2132,"栗含ませ","くりふくませ",1
2142,"さつまいもペースト","さつまいもぺーすと",1
2152,"栗含ませの汁","くりふくませのしる",1
2162,"味醂","みりん",61
2172,"金天","きんぴら",2
2182,"銀箔","ぎんぱく",1
2192,"魚のすり身","さかなのすりみ",1
2202,"黒豆","くろまめ",1
2212,"重曹","じゅうそう",3
2222,"還元鉄","かんげんてつ",1
2232,"チョロギ","ちょろぎ",1
2242,"鰯","いわし",1
2252,"生姜汁","しょうがじる",1
2262,"芽ねぎ","めねぎ",1
2272,"新鮮なあら","しんせんなあら",1
2282,"だし昆布","だしこんぶ",2
2292,"魚の切り身","さかなのきりみ",3
2302,"煮切りみりん","にきりみりん",1
2312,"金柑のみつ煮","きんかんのみつに",1
2322,"釜上げしらす","かまあげしらす",1
2332,"水煮実山椒","みずにみさんしょう",1
2342,"高野豆腐","こうやどうふ",1
2352,"合わせ出汁","あわせだし",1
2362,"菜の花","なのはな",1
2372,"金目鯛の切り身","きんめだいのきりみ",1
2382,"生姜のスライス","しょうがのすらいす",1
2392,"木綿豆腐","もめんどうふ",3
2402,"野菜","やさい",1
2412,"七味唐辛子","しちみとうがらし",4
2422,"かつお出汁","かつおだし",3
2432,"茄子","なすび",7
2442,"活き桜海老","いきさくらえび",1
2452,"濃口醬油","こいくちしょうゆ",24
2462,"しぼり生姜","しぼりしょうが",1
2472,"塩鮭","しおざけ",2
2482,"冷めたごはん","さめたごはん",1
2492,"新生姜","しんしょうが",1
2502,"ごま","ごま",6
2512,"一番出汁","いちばんだし",2
2522,"醬油","しょうゆ",69
2532,"玄米茶","げんまいちゃ",1
2542,"めんつゆ","めんつゆ",1
2552,"青菜","あおな",3
