"id","ingredient_id","recipe_id"
2,2,2
12,12,2
22,22,2
32,32,2
42,42,2
52,52,2
62,62,2
72,72,2
82,12,12
92,42,12
102,52,12
112,82,12
122,32,12
132,92,12
142,102,12
152,112,12
162,2,22
172,52,22
182,42,22
192,122,22
202,132,22
212,12,22
222,142,22
232,152,22
242,162,22
252,172,22
262,182,22
272,192,32
282,202,32
292,212,32
302,222,32
312,232,32
322,242,32
332,52,32
342,42,32
352,82,32
362,252,42
372,262,42
382,272,42
392,282,42
402,292,42
412,302,42
422,312,42
432,322,42
442,332,42
452,342,42
462,352,42
472,362,42
482,112,42
492,372,42
502,382,42
512,392,42
522,402,42
532,42,42
542,412,52
552,212,52
562,422,52
572,432,52
582,442,52
592,352,52
602,452,52
612,402,52
622,82,52
632,2,62
642,292,62
652,462,62
662,472,62
672,482,62
682,492,62
692,402,62
702,42,62
712,452,62
722,82,62
732,502,72
742,2,72
752,512,72
762,212,72
772,412,72
782,522,72
792,62,72
802,242,72
812,532,72
822,42,72
832,542,82
842,512,82
852,502,82
862,552,82
872,242,82
882,562,82
892,42,82
902,142,82
912,572,82
922,582,92
932,592,92
942,602,92
952,612,92
962,622,92
972,632,92
982,242,92
992,42,92
1002,642,92
1012,652,92
1022,662,92
1032,672,102
1042,682,102
1052,692,102
1062,702,102
1072,712,102
1082,722,102
1092,732,102
1102,742,102
1112,752,102
1122,42,102
1132,642,102
1142,82,102
1152,762,102
1162,12,102
1172,772,112
1182,592,112
1192,782,112
1202,792,112
1212,242,112
1222,652,112
1232,42,112
1242,642,112
1252,802,122
1262,812,122
1272,822,122
1282,242,122
1292,42,122
1302,642,122
1312,832,132
1322,582,132
1332,452,132
1342,42,132
1352,642,132
1362,82,132
1372,842,132
1382,852,132
1392,862,142
1402,872,142
1412,882,142
1422,892,142
1432,42,142
1442,452,142
1452,382,142
1462,192,152
1472,902,152
1482,732,152
1492,912,152
1502,452,152
1512,642,152
1522,42,152
1532,922,162
1542,412,162
1552,22,162
1562,932,162
1572,62,162
1582,242,162
1592,942,162
1602,42,162
1612,52,162
1622,952,172
1632,212,172
1642,962,172
1652,972,172
1662,982,172
1672,992,172
1682,1002,172
1692,1012,172
1702,32,172
1712,42,172
1722,402,172
1732,82,172
1742,1022,172
1752,782,172
1762,1032,182
1772,1042,182
1782,1052,182
1792,1062,182
1802,752,182
1812,852,182
1822,1072,192
1832,1062,192
1842,452,192
1852,1082,192
1862,1092,192
1872,1102,192
1882,1112,192
1892,1122,192
1902,582,202
1912,752,202
1922,382,202
1932,1132,202
1942,42,202
1952,652,202
1962,142,202
1972,1142,202
1982,1152,202
1992,902,202
2002,1162,202
2012,1172,202
2022,1182,202
2032,1192,202
2042,1202,202
2052,382,202
2062,1052,202
2072,652,202
2082,1212,202
2092,782,202
2102,1222,212
2112,1232,212
2122,412,212
2132,732,212
2142,1162,212
2152,162,212
2162,342,212
2172,1162,212
2182,382,212
2192,242,212
2202,1052,212
2212,452,212
2222,42,212
2232,1062,212
2242,1242,222
2252,1252,222
2262,1262,222
2272,1272,222
2282,1282,222
2292,1292,222
2302,362,222
2312,902,222
2322,1112,222
2332,652,222
2342,752,222
2352,452,222
2362,42,222
2372,1302,222
2382,1312,232
2392,1052,232
2402,1062,232
2412,752,232
2422,1322,242
2432,212,242
2442,1162,242
2452,522,242
2462,412,242
2472,992,242
2482,782,242
2492,752,242
2502,42,242
2512,1332,242
2522,452,242
2532,82,242
2542,142,242
2552,1342,252
2562,12,252
2572,1162,252
2582,1352,252
2592,22,252
2602,1362,252
2612,1372,252
2622,782,252
2632,342,252
2642,52,252
2652,82,252
2662,452,252
2672,42,252
2682,142,252
2692,82,252
2702,582,262
2712,1382,262
2722,1132,262
2732,1392,262
2742,752,262
2752,52,262
2762,42,262
2772,1402,272
2782,1412,272
2792,142,272
2802,1422,272
2812,82,272
2822,52,272
2832,452,272
2842,42,272
2852,1432,282
2862,1442,282
2872,872,282
2882,1172,282
2892,552,282
2902,172,282
2912,52,282
2922,42,282
2932,452,282
2942,382,282
2952,82,282
2962,1452,292
2972,582,292
2982,212,292
2992,1462,292
3002,412,292
3012,1472,292
3022,1482,292
3032,1162,292
3042,992,292
3052,1392,292
3062,1492,292
3072,752,292
3082,42,292
3092,52,292
3102,452,292
3112,812,302
3122,162,302
3132,362,302
3142,142,302
3152,52,302
3162,452,302
3172,42,302
3182,132,302
3192,1502,312
3202,1512,312
3212,212,312
3222,1522,312
3232,32,312
3242,42,312
3252,52,312
3262,1532,312
3272,1542,312
3282,142,312
3292,162,312
3302,342,312
3312,1552,322
3322,1562,322
3332,1572,322
3342,1582,322
3352,1592,322
3362,1602,322
3372,252,322
3382,1612,322
3392,1622,322
3402,1532,322
3412,82,322
3422,142,322
3432,1632,332
3442,1642,332
3452,1652,332
3462,552,332
3472,632,332
3482,382,332
3492,1662,332
3502,1672,342
3512,322,342
3522,1682,342
3532,1332,342
3542,42,342
3552,142,342
3562,812,342
3572,252,342
3582,1692,342
3592,1702,342
3602,1712,342
3612,1722,342
3622,1682,342
3632,42,342
3642,1732,342
3652,1742,342
3662,1752,342
3672,1762,352
